Date;Adj Close
1985-01-01;278.700012
1985-02-01;284.200012
1985-03-01;279.200012
1985-04-01;280.600006
1985-05-01;290.799988
1985-06-01;296.200012
1985-07-01;301.299988
1985-08-01;297.700012
1985-09-01;280.299988
1985-10-01;292.500000
1985-11-01;314.000000
1985-12-01;324.899994
1986-01-01;335.799988
1986-02-01;359.500000
1986-03-01;374.700012
1986-04-01;383.200012
1986-05-01;400.200012
1986-06-01;405.500000
1986-07-01;371.399994
1986-08-01;382.899994
1986-09-01;350.700012
1986-10-01;360.799988
1986-11-01;359.600006
1986-12-01;348.799988
1987-01-01;392.100006
1987-02-01;425.000000
1987-03-01;430.100006
1987-04-01;417.799988
1987-05-01;416.500000
1987-06-01;424.700012
1987-07-01;434.899994
1987-08-01;455.000000
1987-09-01;444.299988
1987-10-01;323.299988
1987-11-01;305.200012
1987-12-01;330.500000
1988-01-01;344.700012
1988-02-01;367.000000
1988-03-01;374.600006
1988-04-01;379.200012
1988-05-01;370.299988
1988-06-01;394.700012
1988-07-01;387.299988
1988-08-01;376.600006
1988-09-01;387.700012
1988-10-01;382.500000
1988-11-01;371.500000
1988-12-01;381.399994
1989-01-01;401.299988
1989-02-01;399.700012
1989-03-01;406.700012
1989-04-01;427.600006
1989-05-01;446.200012
1989-06-01;435.299988
1989-07-01;453.799988
1989-08-01;469.299988
1989-09-01;472.899994
1989-10-01;455.600006
1989-11-01;456.100006
1989-12-01;454.799988
1990-01-01;415.799988
1990-02-01;425.799988
1990-03-01;435.500000
1990-04-01;420.100006
1990-05-01;459.000000
1990-06-01;462.299988
1990-07-01;438.200012
1990-08-01;381.200012
1990-09-01;344.500000
1990-10-01;329.799988
1990-11-01;359.100006
1990-12-01;373.799988
1991-01-01;414.200012
1991-02-01;453.100006
1991-03-01;482.299988
1991-04-01;484.720001
1991-05-01;506.109985
1991-06-01;475.920013
1991-07-01;502.040009
1991-08-01;525.679993
1991-09-01;526.880005
1991-10-01;542.979980
1991-11-01;523.900024
1991-12-01;586.340027
1992-01-01;620.210022
1992-02-01;633.469971
1992-03-01;603.770020
1992-04-01;578.679993
1992-05-01;585.309998
1992-06-01;563.599976
1992-07-01;580.830017
1992-08-01;563.119995
1992-09-01;583.270020
1992-10-01;605.169983
1992-11-01;652.729980
1992-12-01;676.950012
1993-01-01;696.340027
1993-02-01;670.770020
1993-03-01;690.130005
1993-04-01;661.419983
1993-05-01;700.530029
1993-06-01;703.950012
1993-07-01;704.700012
1993-08-01;742.840027
1993-09-01;762.780029
1993-10-01;779.260010
1993-11-01;754.390015
1993-12-01;776.799988
1994-01-01;800.469971
1994-02-01;792.500000
1994-03-01;743.460022
1994-04-01;733.840027
1994-05-01;735.190002
1994-06-01;705.960022
1994-07-01;722.159973
1994-08-01;765.619995
1994-09-01;764.289978
1994-10-01;777.489990
1994-11-01;750.320007
1994-12-01;751.960022
1995-01-01;755.200012
1995-02-01;793.729980
1995-03-01;817.210022
1995-04-01;843.979980
1995-05-01;864.580017
1995-06-01;933.450012
1995-07-01;1001.210022
1995-08-01;1020.109985
1995-09-01;1043.540039
1995-10-01;1036.060059
1995-11-01;1059.199951
1995-12-01;1052.130005
1996-01-01;1059.790039
1996-02-01;1100.050049
1996-03-01;1101.400024
1996-04-01;1190.520020
1996-05-01;1243.430054
1996-06-01;1185.020020
1996-07-01;1080.589966
1996-08-01;1141.500000
1996-09-01;1226.920044
1996-10-01;1221.510010
1996-11-01;1292.609985
1996-12-01;1291.030029
1997-01-01;1379.849976
1997-02-01;1309.000000
1997-03-01;1221.699951
1997-04-01;1260.760010
1997-05-01;1400.319946
1997-06-01;1442.069946
1997-07-01;1593.810059
1997-08-01;1587.319946
1997-09-01;1685.689941
1997-10-01;1593.609985
1997-11-01;1600.550049
1997-12-01;1570.349976
1998-01-01;1619.359985
1998-02-01;1770.510010
1998-03-01;1835.680054
1998-04-01;1868.410034
1998-05-01;1778.869995
1998-06-01;1894.739990
1998-07-01;1872.390015
1998-08-01;1499.250000
1998-09-01;1693.839966
1998-10-01;1771.390015
1998-11-01;1949.540039
1998-12-01;2192.689941
1999-01-01;2505.889893
1999-02-01;2288.030029
1999-03-01;2461.399902
1999-04-01;2542.860107
1999-05-01;2470.520020
1999-06-01;2686.120117
1999-07-01;2638.489990
1999-08-01;2739.350098
1999-09-01;2746.159912
1999-10-01;2966.429932
1999-11-01;3336.159912
1999-12-01;4069.310059
2000-01-01;3940.350098
2000-02-01;4696.689941
2000-03-01;4572.830078
2000-04-01;3860.659912
2000-05-01;3400.909912
2000-06-01;3966.110107
2000-07-01;3766.989990
2000-08-01;4206.350098
2000-09-01;3672.820068
2000-10-01;3369.629883
2000-11-01;2597.929932
2000-12-01;2470.520020
2001-01-01;2772.729980
2001-02-01;2151.830078
2001-03-01;1840.260010
2001-04-01;2116.239990
2001-05-01;2110.489990
2001-06-01;2160.540039
2001-07-01;2027.130005
2001-08-01;1805.430054
2001-09-01;1498.800049
2001-10-01;1690.199951
2001-11-01;1930.579956
2001-12-01;1950.400024
2002-01-01;1934.030029
2002-02-01;1731.489990
2002-03-01;1845.349976
2002-04-01;1688.229980
2002-05-01;1615.729980
2002-06-01;1463.209961
2002-07-01;1328.260010
2002-08-01;1314.849976
2002-09-01;1172.060059
2002-10-01;1329.750000
2002-11-01;1478.780029
